number,name,earnings in USD,Number of major tournaments won,Number of second place placing,number of third place placings,number of regional tournaments won
141,dade,"$113,967",2,2,1,2
142,Kramer,"$113,854",0,3,2,0
143,Cyanide,"$110,153",7,5,1,4
144,Acorn,"$109,282",2,2,0,2
145,Haro,"$109,047",3,2,1,1
146,TusiN,"$108,129",1,3,3,1
147,Levi,"$107,077",8,5,0,0
148,Able,"$106,919",3,0,0,2
149,aphromoo,"$104,115",2,5,2,2
150,IgNar,"$103,331",1,3,3,0
151,Humanoid,"$103,204",4,1,1,1
152,Lustboy,"$102,509",6,3,0,3
153,PvPStejos,"$101,895",6,3,0,0
154,Shy,"$100,948",1,5,1,0
155,Hanabi,"$100,198",6,1,2,3
156,ON,"$99,988",0,0,1,0
156,Bin,"$99,988",1,1,2,0
156,View,"$99,988",0,0,1,0
159,Angel,"$99,677",2,2,1,0
160,Effort,"$99,479",2,1,0,2
161,Evi,"$99,105",8,4,3,1
162,Wuxx,"$98,940",2,1,2,1
163,MadLife,"$98,606",2,6,1,0
164,Upset,"$98,459",0,2,2,0
165,Pobelter,"$97,025",3,2,3,3
166,Ceros,"$96,605",10,7,1,1
166,Yutapon,"$96,605",10,6,1,1
168,Watch,"$96,297",1,3,0,1
169,Amazing,"$95,969",4,4,1,1
170,MikeYeung,"$95,600",3,2,0,1
171,FORG1VEN,"$95,379",1,0,1,0
172,AmazingJ,"$95,043",2,2,0,0
173,Steal,"$94,540",7,3,1,1
174,Nemesis,"$94,428",7,4,1,1
175,GALA,"$93,907",3,1,0,2
176,Hans sama,"$93,729",3,2,1,0
177,Alex Ich,"$93,049",4,4,1,1
178,Kirrrra,"$92,914",6,3,0,0
179,FEBIVEN,"$92,125",7,5,2,2
180,Kiin,"$90,451",1,3,2,0
181,XLB,"$90,303",2,0,0,0
182,Shoryu,"$90,200",2,4,0,0
183,Woolite,"$88,586",14,8,1,0
184,Genja,"$88,300",4,2,1,1
184,Darien,"$88,300",4,2,1,1
186,Hai,"$87,649",4,2,1,2
187,LemonNation,"$87,249",4,2,0,2
188,Froggen,"$86,513",4,1,2,1
189,Smoothie,"$86,360",3,6,1,1
190,P1noy,"$85,844",7,3,1,1
191,Fireloli,"$84,824",1,1,1,1
192,Flawless,"$84,429",1,4,1,1
193,Ziv,"$84,097",0,3,2,0
194,Balls,"$83,500",4,2,1,2
195,Kikis,"$83,018",4,5,6,1
196,KaKAO,"$82,348",3,3,5,1
197,Cryin,"$82,314",3,0,0,2
198,Gaeng,"$82,281",5,1,2,0
199,Viper,"$82,059",3,3,2,1
200,Mowgli,"$81,549",1,1,2,0
201,Arrow,"$80,700",5,3,2,2
202,Athena,"$80,401",2,2,0,0
203,Westdoor,"$78,313",0,2,1,0
204,Wei,"$77,956",2,0,0,2
205,Sword,"$77,590",3,3,1,1
206,y4,"$77,527",2,1,0,2
207,Life,"$76,871",1,3,1,0
208,Vizicsacsi,"$76,607",1,10,2,0
209,Xiaobai,"$76,340",1,0,0,1
210,Xpecial,"$76,040",4,6,4,1
211,Wickd,"$76,037",2,3,4,1
212,Doran,"$74,852",1,2,1,0
213,MagiFelix,"$74,236",13,5,1,1
214,Nisqy,"$73,214",2,7,2,1
215,Olleh,"$72,994",2,4,0,2
216,An,"$72,847",0,2,2,0
217,705,"$72,451",2,0,0,1
218,Cain,"$72,097",1,1,0,1
219,Insanity,"$71,613",0,0,0,0
220,RapidStar,"$71,547",0,3,0,0
221,huhi,"$71,291",1,4,1,1
222,Hojin,"$71,222",0,2,1,0
223,Stixxay,"$70,515",1,3,3,1
224,Tactical,"$70,171",3,3,1,0
225,Smurf,"$69,882",2,4,0,0
226,Albis,"$69,643",0,2,1,0
227,Jinjiao,"$68,925",0,3,0,0
228,Mountain,"$68,531",0,2,1,0
229,TheOddOne,"$68,040",4,6,2,1
230,Jenkins,"$67,925",2,0,0,0
231,Reignover,"$67,770",2,0,2,2
232,LANGX,"$67,726",1,2,1,0
233,Lehends,"$67,276",3,3,1,1
234,Reginald,"$67,040",4,5,2,1
235,K1ng,"$66,714",8,2,1,1
236,V1per,"$66,600",4,1,0,0
237,Leyan,"$66,489",3,0,0,0
238,Tarzan,"$65,239",3,3,1,1
239,Kobbe,"$64,931",2,2,3,0
240,NaMei,"$64,837",1,1,0,1
241,Selfmade,"$63,940",5,3,0,0
242,SaNTaS,"$63,741",7,4,0,0
243,GodLike,"$63,583",0,1,1,0
244,Heart,"$63,444",1,1,0,1
245,Woong,"$63,255",0,3,0,0
246,Nagne,"$62,287",0,1,0,0
247,Vulcan,"$62,063",4,1,0,2
248,Carzzy,"$61,950",5,1,1,1
249,Corn,"$61,930",0,1,0,0
250,Morning,"$61,880",2,1,3,2
251,Aodi,"$61,570",2,0,0,2
252,Naul,"$61,554",4,4,1,0
253,Hjarnan,"$61,043",9,9,7,0
254,Jactroll,"$61,041",3,2,2,0
255,Slay,"$60,702",4,1,1,0
256,NL,"$60,675",1,0,0,0
257,Joey,"$60,305",1,0,0,0
258,Cool,"$59,990",0,0,1,0
259,Palette,"$59,918",3,3,1,0
260,Koala,"$59,895",2,2,3,1
261,Kaiser,"$59,614",5,2,3,1
262,Krepo,"$59,445",1,1,1,0
263,Stark,"$59,209",5,2,2,0
